t-12,t-11,t-10,t-9,t-8,t-7,t-6,t-5,t-4,t-3,t-2,t-1,t
77562.0,73945.0,70352.0,66781.0,63234.0,59709.0,56209.0,52734.0,49294.0,45899.0,42556.0,39276.0,36069.0
73945.0,70352.0,66781.0,63234.0,59709.0,56209.0,52734.0,49294.0,45899.0,42556.0,39276.0,36069.0,32943.0
70352.0,66781.0,63234.0,59709.0,56209.0,52734.0,49294.0,45899.0,42556.0,39276.0,36069.0,32943.0,29907.0
66781.0,63234.0,59709.0,56209.0,52734.0,49294.0,45899.0,42556.0,39276.0,36069.0,32943.0,29907.0,26972.0
63234.0,59709.0,56209.0,52734.0,49294.0,45899.0,42556.0,39276.0,36069.0,32943.0,29907.0,26972.0,24146.0
59709.0,56209.0,52734.0,49294.0,45899.0,42556.0,39276.0,36069.0,32943.0,29907.0,26972.0,24146.0,21439.0
56209.0,52734.0,49294.0,45899.0,42556.0,39276.0,36069.0,32943.0,29907.0,26972.0,24146.0,21439.0,18859.0
52734.0,49294.0,45899.0,42556.0,39276.0,36069.0,32943.0,29907.0,26972.0,24146.0,21439.0,18859.0,16415.0
49294.0,45899.0,42556.0,39276.0,36069.0,32943.0,29907.0,26972.0,24146.0,21439.0,18859.0,16415.0,14105.0
45899.0,42556.0,39276.0,36069.0,32943.0,29907.0,26972.0,24146.0,21439.0,18859.0,16415.0,14105.0,11930.0
42556.0,39276.0,36069.0,32943.0,29907.0,26972.0,24146.0,21439.0,18859.0,16415.0,14105.0,11930.0,9891.0
39276.0,36069.0,32943.0,29907.0,26972.0,24146.0,21439.0,18859.0,16415.0,14105.0,11930.0,9891.0,7987.0
36069.0,32943.0,29907.0,26972.0,24146.0,21439.0,18859.0,16415.0,14105.0,11930.0,9891.0,7987.0,6218.0
32943.0,29907.0,26972.0,24146.0,21439.0,18859.0,16415.0,14105.0,11930.0,9891.0,7987.0,6218.0,4585.0
29907.0,26972.0,24146.0,21439.0,18859.0,16415.0,14105.0,11930.0,9891.0,7987.0,6218.0,4585.0,3086.0
26972.0,24146.0,21439.0,18859.0,16415.0,14105.0,11930.0,9891.0,7987.0,6218.0,4585.0,3086.0,1724.0
24146.0,21439.0,18859.0,16415.0,14105.0,11930.0,9891.0,7987.0,6218.0,4585.0,3086.0,1724.0,496.0
