,MONTH,BPS,TRENDS,DELAY0,DELAY1,DELAY2,DELAY3,DELAY4,DELAY5,DELAY6,DELAY7,DELAY8,DELAY9,DELAY10,DELAY11,DELAY12
54,2012-07-01,701200,342,818747.9999999999,804447.0,799708.0,638428.0,799708.0,664048.0,1005487.0,685783.0,707868.0,887151.9999999999,852606.9999999999,469567.0,1097712.0
55,2012-08-01,634194,310,672700.0,818747.9999999999,804447.0,799708.0,638428.0,799708.0,664048.0,1005487.0,685783.0,707868.0,887151.9999999999,852606.9999999999,469567.0
56,2012-09-01,683584,305,651175.0,672700.0,818747.9999999999,804447.0,799708.0,638428.0,799708.0,664048.0,1005487.0,685783.0,707868.0,887151.9999999999,852606.9999999999
57,2012-10-01,688341,340,809200.0,651175.0,672700.0,818747.9999999999,804447.0,799708.0,638428.0,799708.0,664048.0,1005487.0,685783.0,707868.0,887151.9999999999
58,2012-11-01,693867,322,725788.0,809200.0,651175.0,672700.0,818747.9999999999,804447.0,799708.0,638428.0,799708.0,664048.0,1005487.0,685783.0,707868.0
59,2012-12-01,766966,278,540988.0,725788.0,809200.0,651175.0,672700.0,818747.9999999999,804447.0,799708.0,638428.0,799708.0,664048.0,1005487.0,685783.0
60,2013-01-01,614328,283,560623.0,540988.0,725788.0,809200.0,651175.0,672700.0,818747.9999999999,804447.0,799708.0,638428.0,799708.0,664048.0,1005487.0
61,2013-02-01,678415,321,721287.0,560623.0,540988.0,725788.0,809200.0,651175.0,672700.0,818747.9999999999,804447.0,799708.0,638428.0,799708.0,664048.0
62,2013-03-01,725316,336,790272.0,721287.0,560623.0,540988.0,725788.0,809200.0,651175.0,672700.0,818747.9999999999,804447.0,799708.0,638428.0,799708.0
63,2013-04-01,646117,314,690172.0,790272.0,721287.0,560623.0,540988.0,725788.0,809200.0,651175.0,672700.0,818747.9999999999,804447.0,799708.0,638428.0
64,2013-05-01,700708,419,1228927.0,690172.0,790272.0,721287.0,560623.0,540988.0,725788.0,809200.0,651175.0,672700.0,818747.9999999999,804447.0,799708.0
65,2013-06-01,789594,385,1037575.0,1228927.0,690172.0,790272.0,721287.0,560623.0,540988.0,725788.0,809200.0,651175.0,672700.0,818747.9999999999,804447.0
